train_scope,eval_scope,model,eval_rows,target_mean,target_max,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2
2023_2024_전체학습,2025_장마철,GradientBoosting,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,4.432717857971284,21.624769000864788,0.615295147722946
2023_2024_전체학습,2025_유입량증가상위5퍼센트,GradientBoosting,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,14.22362753797902,44.39570231013245,0.6697404305203634
2023_2024_전체학습,2025_유입량상위5퍼센트,GradientBoosting,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,25.26284219570624,57.492175609617426,0.4414644534315739
2023_2024_전체학습,2025_강한강우_그리고_유입량증가상위5퍼센트,GradientBoosting,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,23.797210802299183,60.08933181367064,0.6379618770597927
2023_2024_전체학습,2025_전체,XGBoost,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.895227678737869,18.72037772038559,0.21293238388463465
2023_2024_전체학습,2025_강우일,XGBoost,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,7.834645271084401,35.211078210882214,0.1575227621258789
2023_2024_전체학습,2025_강한강우,XGBoost,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,11.92747523093062,45.058596140374945,0.11751150866178506
2023_2024_전체학습,2025_장마철,XGBoost,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,6.025015375005857,31.552300264459447,0.18099460500675435
2023_2024_전체학습,2025_유입량증가상위5퍼센트,XGBoost,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,16.724858784044045,52.67316654517683,0.5351076451239083
2023_2024_전체학습,2025_유입량상위5퍼센트,XGBoost,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,35.435764975727544,83.81582697955483,-0.18709479227620562
2023_2024_전체학습,2025_강한강우_그리고_유입량증가상위5퍼센트,XGBoost,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,28.47093164738718,71.32292772484989,0.48994397806605083
