obsrdt,dam_code,inflowqy,target_inflow_3h,pred_inflow_HistGradientBoosting
2025-04-07 04:00:00,2015110,4.694,0.472,6.070438657865931
2025-04-07 05:00:00,2015110,5.194,3.75,5.66410611279748
2025-04-07 06:00:00,2015110,5.667,12.953,6.198671069166658
2025-04-07 07:00:00,2015110,0.472,0.134,5.805409398065041
2025-04-07 08:00:00,2015110,3.75,0.0,5.672338349692902
2025-04-07 09:00:00,2015110,12.953,0.0,5.725621296953798
2025-04-07 10:00:00,2015110,0.134,0.0,6.590170046688174
2025-04-07 11:00:00,2015110,0.0,5.167,5.144662074360361
2025-04-07 12:00:00,2015110,0.0,1.417,5.581644519223837
2025-04-07 13:00:00,2015110,0.0,0.0,4.324689365878346
2025-04-07 14:00:00,2015110,5.167,14.883,4.8462357630040795
2025-04-07 15:00:00,2015110,1.417,2.573,7.484704716742583
2025-04-07 16:00:00,2015110,0.0,6.317,4.324689365878346
2025-04-07 17:00:00,2015110,14.883,1.562,5.350229410638565
2025-04-07 18:00:00,2015110,2.573,3.278,5.770197338206159
2025-04-07 19:00:00,2015110,6.317,1.889,5.4402045814237185
2025-04-07 20:00:00,2015110,1.562,2.361,6.242391842928518
2025-04-07 21:00:00,2015110,3.278,5.639,4.324689365878346
2025-04-07 22:00:00,2015110,1.889,3.306,4.857204278282299
2025-04-07 23:00:00,2015110,2.361,8.472,6.823957393037903
2025-04-08 00:00:00,2015110,5.639,1.889,4.717951036979962
2025-04-08 01:00:00,2015110,3.306,0.0,5.805409398065041
2025-04-08 02:00:00,2015110,8.472,9.417,4.9650581972710786
2025-04-08 03:00:00,2015110,1.889,8.0,5.270844441695863
2025-04-08 04:00:00,2015110,0.0,0.0,4.324689365878346
2025-04-08 05:00:00,2015110,9.417,1.106,5.154933481843439
2025-04-08 06:00:00,2015110,8.0,19.404,6.198671069166658
2025-04-08 07:00:00,2015110,0.0,0.0,5.113721415607143
2025-04-08 08:00:00,2015110,1.106,9.923,5.581644519223837
2025-04-08 09:00:00,2015110,19.404,0.0,5.350229410638565
2025-04-08 10:00:00,2015110,0.0,5.667,6.534915032270873
2025-04-08 11:00:00,2015110,9.923,3.75,6.665192357593199
2025-04-08 12:00:00,2015110,0.0,0.0,6.498445406467141
2025-04-08 13:00:00,2015110,5.667,12.222,4.717951036979962
2025-04-08 14:00:00,2015110,3.75,0.0,5.664687657666207
2025-04-08 15:00:00,2015110,0.0,12.844,7.8335165569505465
2025-04-08 16:00:00,2015110,12.222,0.0,5.350229410638565
2025-04-08 17:00:00,2015110,0.0,7.249,7.546002883982926
2025-04-08 18:00:00,2015110,12.844,0.0,5.656566639835696
2025-04-08 19:00:00,2015110,0.0,10.806,7.02715249155165
2025-04-08 20:00:00,2015110,7.249,1.889,4.8462357630040795
2025-04-08 21:00:00,2015110,0.0,3.278,5.4224191344465025
2025-04-08 22:00:00,2015110,10.806,5.667,7.564089685685285
2025-04-08 23:00:00,2015110,1.889,3.75,6.055605090318996
2025-04-09 00:00:00,2015110,3.278,0.0,6.823957393037903
2025-04-09 01:00:00,2015110,5.667,5.639,5.402040642134555
2025-04-09 02:00:00,2015110,3.75,3.778,6.047677921284746
2025-04-09 03:00:00,2015110,0.0,3.75,4.571796526169462
2025-04-09 04:00:00,2015110,5.639,5.639,6.779164334869566
2025-04-09 05:00:00,2015110,3.778,0.7,5.22770521280273
2025-04-09 06:00:00,2015110,3.75,10.886,4.814065049389166
2025-04-09 07:00:00,2015110,5.639,3.57,6.070438657865931
2025-04-09 08:00:00,2015110,0.7,2.868,5.113721415607143
2025-04-09 09:00:00,2015110,10.886,2.075,5.0648216585257275
2025-04-09 10:00:00,2015110,3.57,0.0,7.117846322020715
2025-04-09 11:00:00,2015110,2.868,0.944,5.025559790509921
2025-04-09 12:00:00,2015110,2.075,4.694,5.4047835803771465
2025-04-09 13:00:00,2015110,0.0,1.595,5.576499997067319
2025-04-09 14:00:00,2015110,0.944,0.0,5.124106454595246
2025-04-09 15:00:00,2015110,4.694,6.976,7.194813297938461
2025-04-09 16:00:00,2015110,1.595,0.0,5.755938188627798
2025-04-09 17:00:00,2015110,0.0,6.111,6.215659349105532
2025-04-09 18:00:00,2015110,6.976,0.0,6.446840965315382
2025-04-09 19:00:00,2015110,0.0,10.333,6.714326617918446
2025-04-09 20:00:00,2015110,6.111,0.944,6.219722800534208
2025-04-09 21:00:00,2015110,0.0,4.222,6.138336592407416
2025-04-09 22:00:00,2015110,10.333,0.944,5.112341100755265
2025-04-09 23:00:00,2015110,0.944,5.639,5.5744174474640245
2025-04-10 00:00:00,2015110,4.222,2.806,5.434450039809603
2025-04-10 01:00:00,2015110,0.944,2.361,5.056298413262476
2025-04-10 02:00:00,2015110,5.639,7.056,5.585443187691515
2025-04-10 03:00:00,2015110,2.806,4.694,5.032956131812564
2025-04-10 04:00:00,2015110,2.361,4.694,6.278522917018437
2025-04-10 05:00:00,2015110,7.056,3.75,5.050878231322337
2025-04-10 06:00:00,2015110,4.694,13.429,5.554502528938298
2025-04-10 07:00:00,2015110,4.694,6.713,5.426217802914181
2025-04-10 08:00:00,2015110,3.75,0.0,6.38060511562712
2025-04-10 09:00:00,2015110,13.429,3.151,5.359448261046381
2025-04-10 10:00:00,2015110,6.713,0.0,6.802723432847282
2025-04-10 11:00:00,2015110,0.0,0.0,5.852928840294579
2025-04-10 12:00:00,2015110,3.151,5.611,5.581644519223837
2025-04-10 13:00:00,2015110,0.0,8.718,5.677176986764314
2025-04-10 14:00:00,2015110,0.0,12.265,4.452974091902463
2025-04-10 15:00:00,2015110,5.611,0.0,7.2172190641395195
2025-04-10 16:00:00,2015110,8.718,0.0,6.198671069166658
2025-04-10 17:00:00,2015110,12.265,1.389,6.317313963540377
2025-04-10 18:00:00,2015110,0.0,8.0,6.055605090318996
2025-04-10 19:00:00,2015110,0.0,4.222,4.761671810741822
2025-04-10 20:00:00,2015110,1.389,3.75,4.761671810741822
2025-04-10 21:00:00,2015110,8.0,2.333,5.537923745461978
2025-04-10 22:00:00,2015110,4.222,4.694,6.047677921284746
2025-04-10 23:00:00,2015110,3.75,2.833,7.313333076548723
2025-04-11 00:00:00,2015110,2.333,1.861,4.857204278282299
2025-04-11 01:00:00,2015110,4.694,4.694,4.717951036979962
2025-04-11 02:00:00,2015110,2.833,4.694,4.985436689583026
2025-04-11 03:00:00,2015110,1.861,3.306,5.275170637494148
2025-04-11 04:00:00,2015110,4.694,1.389,4.8462357630040795
2025-04-11 05:00:00,2015110,4.694,0.744,5.50698308670876
2025-04-11 06:00:00,2015110,3.306,12.852,4.985436689583026
2025-04-11 07:00:00,2015110,1.389,2.361,5.391769234651477
2025-04-11 08:00:00,2015110,0.744,5.573,4.324689365878346
2025-04-11 09:00:00,2015110,12.852,0.0,5.0648216585257275
2025-04-11 10:00:00,2015110,2.361,0.0,6.590170046688174
2025-04-11 11:00:00,2015110,5.573,2.806,5.537923745461978
2025-04-11 12:00:00,2015110,0.0,3.75,5.55070386047062
2025-04-11 13:00:00,2015110,0.0,0.472,4.324689365878346
2025-04-11 14:00:00,2015110,2.806,12.991,4.610097117991183
2025-04-11 15:00:00,2015110,3.75,0.0,7.196734479391394
2025-04-11 16:00:00,2015110,0.472,0.0,4.571796526169462
2025-04-11 17:00:00,2015110,12.991,6.556,5.884794367007743
2025-04-11 18:00:00,2015110,0.0,0.0,5.770197338206159
2025-04-11 19:00:00,2015110,0.0,11.722,4.324689365878346
2025-04-11 20:00:00,2015110,6.556,1.417,5.154933481843439
2025-04-11 21:00:00,2015110,0.0,1.389,5.113721415607143
2025-04-11 22:00:00,2015110,11.722,2.361,5.0648216585257275
2025-04-11 23:00:00,2015110,1.417,2.806,8.554873117478557
2025-04-12 00:00:00,2015110,1.389,2.806,4.324689365878346
2025-04-12 01:00:00,2015110,2.361,0.0,4.761671810741822
2025-04-12 02:00:00,2015110,2.806,4.694,5.144662074360361
2025-04-12 03:00:00,2015110,2.806,3.75,4.455197929012133
2025-04-12 04:00:00,2015110,0.0,5.639,6.95446595617169
2025-04-12 05:00:00,2015110,4.694,0.0,5.594089783931408
2025-04-12 06:00:00,2015110,3.75,17.825,6.309343070872353
2025-04-12 07:00:00,2015110,5.639,0.536,6.046696055340701
2025-04-12 08:00:00,2015110,0.0,0.0,6.128102545310674
2025-04-12 09:00:00,2015110,17.825,1.013,7.243533319807832
2025-04-12 10:00:00,2015110,0.536,0.0,8.793402387538174
2025-04-12 11:00:00,2015110,0.0,6.083,8.541899553830602
2025-04-12 12:00:00,2015110,1.013,3.75,8.943916469488029
2025-04-12 13:00:00,2015110,0.0,5.167,9.198622007082454
2025-04-12 14:00:00,2015110,6.083,2.716,9.0285475370952
2025-04-12 15:00:00,2015110,3.75,13.165,16.54981098537693
2025-04-12 16:00:00,2015110,5.167,8.696,13.764673641361496
2025-04-12 17:00:00,2015110,2.716,4.36,13.2651141602304
2025-04-12 18:00:00,2015110,13.165,28.583,10.77222372204907
2025-04-12 19:00:00,2015110,8.696,26.694,13.447918990546949
2025-04-12 20:00:00,2015110,4.36,26.25,11.886309000150595
2025-04-12 21:00:00,2015110,28.583,24.361,16.333847650510418
2025-04-12 22:00:00,2015110,26.694,33.278,22.126127870040158
2025-04-12 23:00:00,2015110,26.25,26.25,19.707212694719175
2025-04-13 00:00:00,2015110,24.361,20.139,21.652922964413545
2025-04-13 01:00:00,2015110,33.278,11.722,22.13262673919351
2025-04-13 02:00:00,2015110,26.25,0.0,25.218311034568384
2025-04-13 03:00:00,2015110,20.139,29.056,26.74536792980849
2025-04-13 04:00:00,2015110,11.722,0.0,23.840660743411135
2025-04-13 05:00:00,2015110,0.0,30.0,18.252963200252015
2025-04-13 06:00:00,2015110,29.056,0.0,16.995904227163123
2025-04-13 07:00:00,2015110,0.0,15.589,17.373726103411382
2025-04-13 08:00:00,2015110,30.0,16.498,18.212983663223767
2025-04-13 09:00:00,2015110,0.0,4.222,16.440907687091034
2025-04-13 10:00:00,2015110,15.589,21.083,12.249396984254933
2025-04-13 11:00:00,2015110,16.498,0.0,12.7213408730965
2025-04-13 12:00:00,2015110,4.222,12.639,12.829682606450433
2025-04-13 13:00:00,2015110,21.083,14.528,11.084348115930176
2025-04-13 14:00:00,2015110,0.0,0.0,12.828618084674217
2025-04-13 15:00:00,2015110,12.639,28.206,8.126349204236005
2025-04-13 16:00:00,2015110,14.528,6.149,10.621038468733241
2025-04-13 17:00:00,2015110,0.0,0.0,9.443923731222384
2025-04-13 18:00:00,2015110,28.206,0.0,10.049449824115433
2025-04-13 19:00:00,2015110,6.149,15.472,14.75535685259649
2025-04-13 20:00:00,2015110,0.0,16.389,7.246974761634622
2025-04-13 21:00:00,2015110,0.0,6.083,8.070771387229248
2025-04-13 22:00:00,2015110,15.472,6.083,8.82140904201776
2025-04-13 23:00:00,2015110,16.389,9.389,8.771867702905134
2025-04-14 00:00:00,2015110,6.083,0.472,12.817025709873233
2025-04-14 01:00:00,2015110,6.083,8.417,9.264364201211512
2025-04-14 02:00:00,2015110,9.389,8.917,6.398394190094816
2025-04-14 03:00:00,2015110,0.472,16.861,5.85355782624256
2025-04-14 04:00:00,2015110,8.417,18.75,8.855119563359887
2025-04-14 05:00:00,2015110,8.917,7.972,8.542066997488854
2025-04-14 06:00:00,2015110,16.861,9.92,9.456100344934292
2025-04-14 07:00:00,2015110,18.75,9.737,13.253144871729997
2025-04-14 08:00:00,2015110,7.972,6.935,12.654803189805083
2025-04-14 09:00:00,2015110,9.92,0.0,9.578265066440128
