댐코드,댐이름,유입량성능등급,입력변수세트,방류량모델,유입량예측모델,학습행수,평가행수,전체_기준선_MAE,전체_모델_MAE,전체_개선율(%),전체_모델_R2
2018110,남강댐,우수,기본변수,XGBoost,GradientBoosting,16983,8578,11.033608650034973,12.740039521984299,-15.465754913682908,0.9001037932886605
2018110,남강댐,우수,예측유입량포함,GradientBoosting,GradientBoosting,16983,8578,11.033608650034973,12.2991257117196,-11.469656952901051,0.8974697500255839
2018110,남강댐,우수,예측유입량포함,RandomForest,GradientBoosting,16983,8578,11.033608650034973,13.00922166644107,-17.90541135786826,0.8334481615368834
2018110,남강댐,우수,예측유입량포함,XGBoost,GradientBoosting,16983,8578,11.033608650034973,12.7759380894361,-15.791111454688075,0.899828968923909
2021110,밀양댐,양호,기본변수,GradientBoosting,XGBoost,17472,8760,0.09726563926940639,0.23054176316746916,-137.02282213857097,0.6879896116693156
2021110,밀양댐,양호,기본변수,RandomForest,XGBoost,17472,8760,0.09726563926940639,0.33944989664728986,-248.99261362697823,-0.01547074669161641
2021110,밀양댐,양호,기본변수,XGBoost,XGBoost,17472,8760,0.09726563926940639,0.33325292797436995,-242.62143391802104,-0.2619236015706168
2021110,밀양댐,양호,예측유입량포함,GradientBoosting,XGBoost,17472,8760,0.09726563926940639,0.24667820325843828,-153.61289465767965,0.6278756422936429
2021110,밀양댐,양호,예측유입량포함,RandomForest,XGBoost,17472,8760,0.09726563926940639,0.33462120753769947,-244.02817896550863,0.04741631902310972
2021110,밀양댐,양호,예측유입량포함,XGBoost,XGBoost,17472,8760,0.09726563926940639,0.33436377123109834,-243.76350553249074,-0.26386880542359625
3001110,용담댐,우수,기본변수,GradientBoosting,GradientBoosting,17280,8668,0.8429194739270882,7.997826863703146,-848.8245450590872,0.12846868183474713
3001110,용담댐,우수,기본변수,RandomForest,GradientBoosting,17280,8668,0.8429194739270882,2.034920624076648,-141.41340745114485,0.8107378301547529
3001110,용담댐,우수,기본변수,XGBoost,GradientBoosting,17280,8668,0.8429194739270882,1.9936700890228176,-136.51963807817643,0.8797680317447235
3001110,용담댐,우수,예측유입량포함,GradientBoosting,GradientBoosting,17280,8668,0.8429194739270882,7.88192782141397,-835.0748280488474,0.1559376416312187
3001110,용담댐,우수,예측유입량포함,RandomForest,GradientBoosting,17280,8668,0.8429194739270882,1.9435270174622643,-130.57090001818818,0.8312267834700905
3001110,용담댐,우수,예측유입량포함,XGBoost,GradientBoosting,17280,8668,0.8429194739270882,1.4369885221647678,-70.4775564704851,0.88330906690871
3008110,대청댐,양호,기본변수,GradientBoosting,GradientBoosting,17443,8369,41.12401899868562,38.143789834824425,7.246930714520991,0.30486296095576293
3008110,대청댐,양호,기본변수,RandomForest,GradientBoosting,17443,8369,41.12401899868562,37.11861673443533,9.739812308661541,0.349324956868572
3008110,대청댐,양호,기본변수,XGBoost,GradientBoosting,17443,8369,41.12401899868562,36.35131652630733,11.605632398260573,0.396934461215691
3008110,대청댐,양호,예측유입량포함,GradientBoosting,GradientBoosting,17443,8369,41.12401899868562,37.62419782683426,8.510406465776649,0.3247637047597641
3008110,대청댐,양호,예측유입량포함,RandomForest,GradientBoosting,17443,8369,41.12401899868562,37.78066551872402,8.129928838104219,0.30887329113028894
3008110,대청댐,양호,예측유입량포함,XGBoost,GradientBoosting,17443,8369,41.12401899868562,36.39992360703535,11.48743606942031,0.39080309634931965
3203110,보령댐,양호,기본변수,GradientBoosting,GradientBoosting,17416,8735,0.2974737263880939,0.47198685280981745,-58.66505541200237,0.8987591367598393
3203110,보령댐,양호,기본변수,RandomForest,GradientBoosting,17416,8735,0.2974737263880939,0.6242644170789524,-109.85531215100212,0.8882839641659633
3203110,보령댐,양호,기본변수,XGBoost,GradientBoosting,17416,8735,0.2974737263880939,0.6837544044431306,-129.85371271111265,0.8232842714262125
3203110,보령댐,양호,예측유입량포함,GradientBoosting,GradientBoosting,17416,8735,0.2974737263880939,0.4778932816753736,-60.65058500389997,0.9027138737551716
3203110,보령댐,양호,예측유입량포함,RandomForest,GradientBoosting,17416,8735,0.2974737263880939,0.6651705341257291,-123.60648189074892,0.8826343593144776
3203110,보령댐,양호,예측유입량포함,XGBoost,GradientBoosting,17416,8735,0.2974737263880939,0.7716484275389891,-159.40053157241573,0.7702706310644558
3303110,부안댐,부진,기본변수,GradientBoosting,XGBoost,17472,8760,0.07897397260273971,0.09772337681654349,-23.74124486318843,0.9743897007105866
3303110,부안댐,부진,기본변수,RandomForest,XGBoost,17472,8760,0.07897397260273971,0.09715321402289365,-23.019281949510635,0.9659352038077923
3303110,부안댐,부진,기본변수,XGBoost,XGBoost,17472,8760,0.07897397260273971,0.09154723593170784,-15.920768469144923,0.9756834050985458
3303110,부안댐,부진,예측유입량포함,GradientBoosting,XGBoost,17472,8760,0.07897397260273971,0.09939792705800428,-25.86162729587195,0.973304118618805
3303110,부안댐,부진,예측유입량포함,RandomForest,XGBoost,17472,8760,0.07897397260273971,0.09347526177066211,-18.362111832549918,0.9676548799442843
