댐코드,댐이름,예측대상,모델,학습행수,평가행수,평가기간_시작,평가기간_끝,실제평균,실제최대,기준선_MAE,기준선_RMSE,기준선_R2,모델_MAE,모델_RMSE,모델_R2,MAE_개선율(%)
3001110,용담댐,3시간 뒤 유입량,GradientBoosting,17280,8668,2025-01-01,2025-12-31 23:00:00,23.542776534379325,968.448,12.242000807568067,27.4552550959525,0.6453955068686954,9.897116953958829,24.333058404697113,0.7214605814064883,19.154416753179913
3001110,용담댐,3시간 뒤 유입량,RandomForest,17280,8668,2025-01-01,2025-12-31 23:00:00,23.542776534379325,968.448,12.242000807568067,27.4552550959525,0.6453955068686954,10.25582355129348,25.543258832381895,0.6930653803341131,16.224286270645578
3008110,대청댐,3시간 뒤 유입량,GradientBoosting,17443,8369,2025-01-01,2025-12-31 23:00:00,54.15756183534472,49802.508,56.07859361930936,773.2805572195541,-0.9757169828913552,43.22413886602125,549.9465896625771,0.0007099158685953677,22.922213136354365
3008110,대청댐,3시간 뒤 유입량,RandomForest,17443,8369,2025-01-01,2025-12-31 23:00:00,54.15756183534472,49802.508,56.07859361930936,773.2805572195541,-0.9757169828913552,45.66760234087269,550.9868482473626,-0.0030740997689289173,18.565000665159133
4001110,섬진강댐,3시간 뒤 유입량,GradientBoosting,17353,8664,2025-01-01,2025-12-31 23:00:00,19.21570140812558,975.847,11.237082294552172,21.657899909937882,0.7436304811608759,8.870318516529823,18.017320631820425,0.8225752842757734,21.06208458729341
4001110,섬진강댐,3시간 뒤 유입량,RandomForest,17353,8664,2025-01-01,2025-12-31 23:00:00,19.21570140812558,975.847,11.237082294552172,21.657899909937882,0.7436304811608759,8.894743631748744,18.05341287708761,0.8218637389377693,20.844722868488848
4007110,주암(본)댐,3시간 뒤 유입량,GradientBoosting,17319,8695,2025-01-01,2025-12-31 23:00:00,10.059049453709028,727.088,9.234313513513513,21.266776124727404,0.3343948284980861,11.617813140187499,22.600922336571262,0.248263400810126,-25.811335333005186
4007110,주암(본)댐,3시간 뒤 유입량,RandomForest,17319,8695,2025-01-01,2025-12-31 23:00:00,10.059049453709028,727.088,9.234313513513513,21.266776124727404,0.3343948284980861,11.652929878041256,21.124531731210364,0.3432689494265978,-26.191620643898816
4104610,주암(조)댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,12.284648401826484,331.077,7.59470296803653,12.485113161573905,0.315157718012935,5.7892457505478845,9.981490739058344,0.5622799743584087,23.772584985708967
4104610,주암(조)댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,12.284648401826484,331.077,7.59470296803653,12.485113161573905,0.315157718012935,5.947140510601153,9.981274144015224,0.5622989709114601,21.693573328270983
3303110,부안댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,1.6949504566210045,371.005,1.1230724885844747,7.785315477920816,0.11995531104014145,1.275979769051269,6.401635916726126,0.4049763385436953,-13.615085581832687
3303110,부안댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,1.6949504566210045,371.005,1.1230724885844747,7.785315477920816,0.11995531104014145,1.384169526497392,6.581106704677769,0.3711455195391198,-23.24845818652411
3203110,보령댐,3시간 뒤 유입량,GradientBoosting,17416,8735,2025-01-01,2025-12-31 23:00:00,5.4905432169433315,753.346,2.2150064109902687,12.335979628424413,0.6184197751300955,2.0209805387557216,10.916709782787303,0.701171439795591,8.759607704602692
3203110,보령댐,3시간 뒤 유입량,RandomForest,17416,8735,2025-01-01,2025-12-31 23:00:00,5.4905432169433315,753.346,2.2150064109902687,12.335979628424413,0.6184197751300955,2.1259750707241905,11.50775075353722,0.6679377804671585,4.019461967438496
5101110,장흥댐,3시간 뒤 유입량,GradientBoosting,17443,8760,2025-01-01,2025-12-31 23:00:00,6.374299657534246,482.926,3.61750901826484,12.003652307735342,0.6108804115331912,3.2313847833763716,10.862929990931125,0.6813233519488529,10.673760118880788
5101110,장흥댐,3시간 뒤 유입량,RandomForest,17443,8760,2025-01-01,2025-12-31 23:00:00,6.374299657534246,482.926,3.61750901826484,12.003652307735342,0.6108804115331912,3.1573403327113687,10.663774925742196,0.6929011292950829,12.720595393959625
