댐코드,댐이름,입력변수세트,방류량모델,유입량예측모델,평가구간,평가건수,기준선,기준선_MAE,모델_MAE,개선율(%)
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,유입량급증,876,현재방류량유지,0.37319634703196347,1.7620928899570867,-372.16241637171413
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,유입량급증,876,최근3시간평균,0.4878192541856928,1.7620928899570867,-261.21839694468684
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,유입량급증,876,최근6시간평균,0.6001491628614914,1.7620928899570867,-193.6091556898098
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,유입량급증,876,최근3시간변화량반영,0.567420091324201,1.7620928899570867,-210.54467702136722
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,방류량변화,25,현재방류량유지,29.57348,26.178199446020585,11.480828613945382
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,방류량변화,25,최근3시간평균,31.25848,26.178199446020585,16.25248749772674
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,방류량변화,25,최근6시간평균,31.800279999999997,26.178199446020585,17.67934293024908
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,방류량변화,25,최근3시간변화량반영,29.861159999999998,26.178199446020585,12.333615150849509
1006110,횡성댐,기본변수,RandomForest,XGBoost,전체,8760,현재방류량유지,0.20856198630136985,0.8957447950788241,-329.4861259062246
1006110,횡성댐,기본변수,RandomForest,XGBoost,전체,8760,최근3시간평균,0.2452250761035007,0.8957447950788241,-265.2745507562866
1006110,횡성댐,기본변수,RandomForest,XGBoost,전체,8760,최근6시간평균,0.2983392123287673,0.8957447950788241,-200.24373533966462
1006110,횡성댐,기본변수,RandomForest,XGBoost,전체,8760,최근3시간변화량반영,0.3395570776255708,0.8957447950788241,-163.7980045483136
1006110,횡성댐,기본변수,RandomForest,XGBoost,강우발생,698,현재방류량유지,0.7021031518624642,2.5127365299871256,-257.8870887164666
1006110,횡성댐,기본변수,RandomForest,XGBoost,강우발생,698,최근3시간평균,0.885184336198663,2.5127365299871256,-183.865905352305
1006110,횡성댐,기본변수,RandomForest,XGBoost,강우발생,698,최근6시간평균,1.0917504775549187,2.5127365299871256,-130.15666873026183
1006110,횡성댐,기본변수,RandomForest,XGBoost,강우발생,698,최근3시간변화량반영,1.0789885386819484,2.5127365299871256,-132.8788898032772
1006110,횡성댐,기본변수,RandomForest,XGBoost,최근24시간누적강우,2699,현재방류량유지,0.3337110040755835,1.4940832259260644,-347.71769815168085
1006110,횡성댐,기본변수,RandomForest,XGBoost,최근24시간누적강우,2699,최근3시간평균,0.4059039150302582,1.4940832259260644,-268.0879071626317
1006110,횡성댐,기본변수,RandomForest,XGBoost,최근24시간누적강우,2699,최근6시간평균,0.5249260219834507,1.4940832259260644,-184.62738811854294
1006110,횡성댐,기본변수,RandomForest,XGBoost,최근24시간누적강우,2699,최근3시간변화량반영,0.5521144868469804,1.4940832259260644,-170.61112532266384
1006110,횡성댐,기본변수,RandomForest,XGBoost,유입량급증,876,현재방류량유지,0.37319634703196347,1.9802833696521644,-430.6277474046544
